"ENGINEERING CUTOFF RANK OF CET-2015 - (ROUND-3 ALLOTMENT) ( General ) 21-07-2015"
"1     E001   University Visveswariah College of Engineering          Bangalore"
"1G    1K    1R       2AG  2AK    2AR  2BG   2BK   2BR    3AG  3AK   3AR    3BG  3BK  3BR    GM   GMK   GMR   SCG   SCK   SCR   STG  STK   STR"
"AE Aeronaut.Engg       9885   --     --     7477   --   7492 9333       --      --     6814   --     --      8528   --    --   5272 11924 7044             17745   --  40239   --    --   --"
"AU Automobile         23970   --     --    20078 --    40150 25839      --      --    22148   --     --     21285   --    --  15265   --  37372            60461   --    --  39323   --   --"
"BT Bio Technology     21321   --     --    28736 --    34840 22093      --      --    16143   --     --     16588   --    --  15606 55280 30402            54050   --  64047   --    --   --"
"CE Civil              22556   --   25739   22896 28735 26935 16929      --    39168   15465   --     --     17554   --  19856 15149 18094 17008            34488 39834 41346 17701   --   --"
"CH Chemical           26046   --     --    28197 --      --  52350      --      --    36096   --     --     18925 28044   --  17386   --  21502            72435   --    --    --    -- 102382"
"CS Computers           5231   --   19910    8633   --  13941 11122      --      --     5760   --     --      4267   --    --   4111 7908 9237              26600   --  34639 17585 44367  --"
"CT Const. Tech.       63692   --     --    48166 75596   --  39269      --      --    43248   --     --     51127   --    --  37236   --  48881            89744   --    -- 105197 --     --"
"Mgmt."
"EC Electronics         8706   --    --      8449 14300 13230 10801   --  13642 5696    --    --   6905              --     8902 4963 9539 8427             25011 69508 37917 18002    --      --"
"EE Electrical         12033   --    --     17796 24099 35809 15548   --    --  13387   --  16839 14100              --      --  10834 15785 14644          38684 38972 44349 25673    --      --"
"IE Info.Science       14599   --    --     13253 --    15004 12805 38997 27505 7700    --    --   7782              --      --   6568 16307 14591          52764   --    --  32264    --      --"
"IM Ind. Engg.         42367   --    --     51284 --      --  34574   --    --  31994 57135 38290 27650              --      --  20220   --  33682          97667 108809 --     --     --    112396"
"Mgmt."
"IT Inst.Tech.         27752   --     --    24504   --     --    16717   --    64326   19652   --    50806   20594   --    --  14414 45566 36624 60757  --    --    --                 --     --"
"MD Med.Elect.         31280   --     --    45520   --   74641   32532   --      --    30078   --      --    23906   --    --  20931   --  69064 69483  --    --  75656                --     --"
"ME Mechanical         12393   --   20714   12955   --   27190   13574   --      --    11474   --      --    12638   --  16566 8825 12438 13581 31142 39111 44031 25206                --     --"
"TC Telecommn.         16694   --   48566   21885   --   31896   26113   --      --    14493   --      --    13704 50096 36610 12327 39260 27041 81794  --    --  48672                --     --"
"8     E008   Bangalore Institute of Technology      Bangalore"
"1G    1K     1R      2AG  2AK   2AR    2BG  2BK   2BR    3AG 3AK    3AR   3BG               3BK      3BR     GM      GMK     GMR    SCG   SCK   SCR   STG     STK    STR"
"CE Civil              19075   --     --    17242 24734 18655 20928   --  21430 13189  --    --  15866               --     20823   11666   17995   16638   32808 41452 47839 22245    --     --"
"CS Computers           7493   --   19347    7657   --  13887 5679    --  12027 4001 19564   --   3543               --      7379    2313    6257    6370   24403   --  30629 23647    --     --"
